checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status_sex,other_debtors,residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
negative_balance,6,critical_account,radio_tv,1169,no_savings,over_7_years,4,male_single,none,4,real_estate,67,none,own,2,skilled_employee,1,has_phone,yes,good
low_balance,48,existing_paid_duly,radio_tv,5951,very_low_savings,1_to_4_years,2,female_divorced_married,none,2,real_estate,22,none,own,1,skilled_employee,1,no_phone,yes,bad
no_checking_account,12,critical_account,education,2096,very_low_savings,4_to_7_years,2,male_single,none,3,real_estate,49,none,own,1,unskilled_resident,2,no_phone,yes,good
negative_balance,42,existing_paid_duly,furniture_equipment,7882,very_low_savings,4_to_7_years,2,male_single,guarantor,4,insurance_savings,45,none,free,1,skilled_employee,2,no_phone,yes,good
negative_balance,24,payment_delay_past,car_new,4870,very_low_savings,1_to_4_years,3,male_single,none,4,no_property,53,none,free,2,skilled_employee,2,no_phone,yes,bad
no_checking_account,36,existing_paid_duly,education,9055,no_savings,1_to_4_years,2,male_single,none,4,no_property,35,none,free,1,unskilled_resident,2,has_phone,yes,good
no_checking_account,24,existing_paid_duly,furniture_equipment,2835,medium_savings,over_7_years,3,male_single,none,4,insurance_savings,53,none,own,1,skilled_employee,1,no_phone,yes,good
low_balance,36,existing_paid_duly,car_used,6948,very_low_savings,1_to_4_years,2,male_single,none,2,car_or_other,35,none,rent,1,management_self_employed,1,has_phone,yes,good
no_checking_account,12,existing_paid_duly,radio_tv,3059,high_savings,4_to_7_years,2,male_divorced,none,4,real_estate,61,none,own,1,unskilled_resident,1,no_phone,yes,good
low_balance,30,critical_account,car_new,5234,very_low_savings,unemployed,4,male_married_widowed,none,2,car_or_other,28,none,own,2,management_self_employed,1,no_phone,yes,bad
low_balance,12,existing_paid_duly,car_new,1295,very_low_savings,less_than_1_year,3,female_divorced_married,none,1,car_or_other,25,none,rent,1,skilled_employee,1,no_phone,yes,bad
negative_balance,48,existing_paid_duly,business,4308,very_low_savings,less_than_1_year,3,female_divorced_married,none,4,insurance_savings,24,none,rent,1,skilled_employee,1,no_phone,yes,bad
low_balance,12,existing_paid_duly,radio_tv,1567,very_low_savings,1_to_4_years,1,female_divorced_married,none,1,car_or_other,22,none,own,1,skilled_employee,1,has_phone,yes,good
negative_balance,24,critical_account,car_new,1199,very_low_savings,over_7_years,4,male_single,none,4,car_or_other,60,none,own,2,unskilled_resident,1,no_phone,yes,bad
negative_balance,15,existing_paid_duly,car_new,1403,very_low_savings,1_to_4_years,2,female_divorced_married,none,4,car_or_other,28,none,rent,1,skilled_employee,1,no_phone,yes,good
negative_balance,24,existing_paid_duly,radio_tv,1282,low_savings,1_to_4_years,4,female_divorced_married,none,2,car_or_other,32,none,own,1,unskilled_resident,1,no_phone,yes,bad
no_checking_account,24,critical_account,radio_tv,2424,no_savings,over_7_years,4,male_single,none,4,insurance_savings,53,none,own,2,skilled_employee,1,no_phone,yes,good
